sentence,label
"If ""natural resources belong to the nation"", charge appropriate amounts for mining licenses.",Claim
"Mined resources are finiteÿ argues for an appropriate charge for mining licenses, not a profits tax.",Premise
Taxing profits rather than charging for inputs punishes efficiency. We shouldn't.,Premise
We need to re-invest into the future of Australian industry rather than 'propping' up our nation by selling off our natural resources.,MajorClaim
"I have worked with some of the mining companies as an external consultant and I witnessed some of the worst penny pinching tactics I have ever come across in business, they are certainly loathe to engage Australian industries.",Empty
If we didn't have the natural resources to offer than what would we currently offer? ,Claim
not a lot beyond education and now that is being recreated overseas,Claim
"We need to protect our natural resources, we also need to ensure that the people of Australia benefit form the proper investment that mining income can provide and above anything else, Australia needs to work out what she is when the natural resources have gone.",Empty
 see resources as a national asset which should provide national returns. ,MajorClaim
"We want to live in a country with high quality, equitable healthcare, education, roads etc etc and this needs to be funded from somewhere.",Claim
"I feel that government is often to suseptible to the fear campaigns orchestrated by special interest groups and hope that this issue doesn't follow the same path, though already there has been major concessions made from the original proposal and the ideas espoused in the Henry Review.",Empty
"I think he's right that we shouldn't punish efficiency, and I agree that we should charge appropriate amounts for mining licences.",MajorClaim
"However I think the notions of fairness and punishment - whilst often useful - cloud this particular issue, and we shouldn't use them in either the for or the against cases. ",Claim
"The more relevant issues are that they're Australian assets, that the current market is impermanent, and that the current profits are, historically, unusually high.",Premise
We''re very lucky that we have so much of what so many people want right now. ,Premise
 We're temporarily in an unusually good market for what we happen to have a lot of. ,Premise
"Good markets tend not to last forever, and a tax on what are unusually high profits still allows a respectable rate of return for investors, and means both that the country has something put aside for when market conditions change, and that there's money available to help those whom this market disadvantages",Empty
Punishment is the wrong way to think about a tax like this. ,Claim
"Such a tax is a contribution to the good of the country, by someone who is temporarily in an unusually good position to so contribute.",Premise
" It's not something governments do to be mean, it's what they do because countries cost money to run.",Premise
"It's like asking the tallest person in the room to change a lightbulb - we do it not to pick on them, but because they have what the job requires.",Premise
A place to live should be an opportunity we can all aim for and achieve.,MajorClaim
"To have a more balanced life, we need to put the words ""affordable"" and ""housing"" together so that everyone who earns, has a chance to own their own home without the market being driven by a small percentage of people investing into property, being given tax breaks to do it and thus helping drive up the price of property.",Claim
"In my view, the current version of the mining tax should be repealed (although I strongly endorse some form of mining tax). ",MajorClaim
This particular tax (the RSPT) is clearly inferior to the original MRRT. ,Claim
 It would be best to repeal this tax and introduce a better tax at the next election. ,Claim
"First, the tax only applies to coal and iron ore producers. ",Claim
Other highly profitable resources are excluded. ,Premise
"Second, the tax allows miners to make 7% RoE plus the government bond rate before they have to pay any tax. ",Claim
 7% is well above the cost of equity for miners. ,Premise
"Third, the structure of the RSPT is not a brown tax. ",Claim
 It does not provide a tax credit for investments that go bad. ,Premise
"Fourth, it does not replace state royalties (which are taxes on revenue).",Claim
Not repealing the tax will keep this lousy tax in for a long time. ,MajorClaim
The Mining Tax should be repealed.,MajorClaim
The mineral resources are owned by all Australians,Claim
They can only be dug up and sold ONCE,Claim
